project_name,git_id,git_path,resource_name,service_dir,service_port,service_httpnodePort,debug_port,debug_httpnodePort,database_name
ema8-beidou-web,1373,gitlab.dahantc.com:ctc-ema80/ctc-ema80-beidou/ctc-ema80-web-beidou.git,beidou-ema8,/ema8/beidou-ema8/,9200,31819,11028,31820,-1
ema8-beidou-app,1374,gitlab.dahantc.com:ctc-ema80/ctc-ema80-beidou/ctc-ema80-app-beidou.git,beidou-ema8,/ema8/beidou-ema8/,9201,31821,11028,31822,-1
ema8-daimler-web,1262,gitlab.dahantc.com:ctc-ema80/ctc-ema80-daimler/ctc-ema80-web-daimler.git,Daimler-ema8,/ema8/Daimler-ema8/,9022,31839,11028,31840,-1
ema8-daimler-app,1263,gitlab.dahantc.com:ctc-ema80/ctc-ema80-daimler/ctc-ema80-app-daimler.git,Daimler-ema8,/ema8/Daimler-ema8/,9023,31841,11028,31842,-1
ema8-gjdw2-web,1122,gitlab.dahantc.com:ctc-ema80/ctc-ema80-gjdw2/ctc-ema80-web-gjdw2.git,gjdw2,/ema8/gjdw2/,9014,31847,11028,31848,-1
ema8-gjdw2-app,1123,gitlab.dahantc.com:ctc-ema80/ctc-ema80-gjdw2/ctc-ema80-app-gjdw2.git,gjdw2,/ema8/gjdw2/,9015,31849,11028,31850,-1
ema8-landun-web,1284,gitlab.dahantc.com:ctc-ema80/ctc-ema80-landun/ctc-ema80-web-landun.git,landun,/ema8/landun/,9032,31839,11028,31840,-1
ema8-landun-app,1283,gitlab.dahantc.com:ctc-ema80/ctc-ema80-landun/ctc-ema80-app-landun.git,landun,/ema8/landun/,9033,31841,11028,31842,-1
ema8-sinopec-web,32,gitlab.dahantc.com:ctc-ema80/ctc-ema80-sinopec/ctc-ema80-web-sinopec.git,sinopec,/ema8/sinopec/,9018,31843,11028,31844,-1
ema8-sinopec-app,30,gitlab.dahantc.com:ctc-ema80/ctc-ema80-sinopec/ctc-ema80-app-sinopec.git,sinopec,/ema8/sinopec/,9019,31845,11028,31846,-1
ema8-volvo-web,1302,gitlab.dahantc.com:ctc-ema80/ctc-ema80-volvo/ctc-ema80-web-volvo.git,vlovo-ema8,/ema8/vlovo-ema8/,9041,31802,11041,31803,-1
ema8-volvo-app,1301,gitlab.dahantc.com:ctc-ema80/ctc-ema80-volvo/ctc-ema80-app-volvo.git,vlovo-ema8,/ema8/vlovo-ema8/,9042,31804,11042,31805,-1
5gucp-mszq-web,67,gitlab.dahantc.com:ctc-ema80/ctc-ema80-standard/project/ctc-ema80-web.git,mszq,/ema8/mszq/,9034,31831,11028,31832,-1
5gucp-mszq-app,63,gitlab.dahantc.com:ctc-ema80/ctc-ema80-standard/project/ctc-ema80-app.git,mszq,/ema8/mszq/,9035,31833,11028,31834,-1
5gucp-sdyk-web,67,gitlab.dahantc.com:ctc-ema80/ctc-ema80-standard/project/ctc-ema80-web.git,yankuang,/ema8/yankuang/,9038,31815,11028,31816,-1
5gucp-sdyk-app,63,gitlab.dahantc.com:ctc-ema80/ctc-ema80-standard/project/ctc-ema80-app.git,yankuang,/ema8/yankuang/,9039,31817,11028,31818,-1
5gucp-watsons-web,67,gitlab.dahantc.com:ctc-ema80/ctc-ema80-standard/project/ctc-ema80-web.git,watsons-ema8,/ema8/watsons-ema8/,9028,31811,11028,31812,-1
5gucp-watsons-app,63,gitlab.dahantc.com:ctc-ema80/ctc-ema80-standard/project/ctc-ema80-app.git,watsons-ema8,/ema8/watsons-ema8/,9029,31813,11028,31814,-1
5gucp-leapauto-vue,1333,gitlab.dahantc.com:ctc-ema80/ctc-ema80-standard/project/ctc-5gucp-web.git,leapauto,/ema8/leapauto/,80,31863,-1,-1,-1
5gucp-leapauto-web,67,gitlab.dahantc.com:ctc-ema80/ctc-ema80-standard/project/ctc-ema80-web.git,leapauto,/ema8/leapauto/,8081,31864,11028,31865,-1
5gucp-leapauto-app,63,gitlab.dahantc.com:ctc-ema80/ctc-ema80-standard/project/ctc-ema80-app.git,leapauto,/ema8/leapauto/,8181,31866,11028,31867,-1
5gucp-gjtsg-vue,1333,gitlab.dahantc.com:ctc-ema80/ctc-ema80-standard/project/ctc-5gucp-web.git,gjtsg,/ema8/gjtsg/,80,-1,-1,-1,-1
